,full_text
29,"['anies', 'selalu', 'berkomitmen', 'mewujudkan', 'perubahan', 'positif', 'kebaikan', 'masyarakatnya', 'negaranya']"
30,"['kemenangan', 'anies', 'gub', 'dki', 'klaim', 'penuh', 'gerindra', 'baik', 'dukungan', 'modal', 'logistik', 'sungguh', 'kesombongan', 'menghilangkan', 'jasa2', 'partai2', 'relawan2', 'rakyat', 'dki', 'pilgub', 'dki', 'lebih', 'berjasa']"
31,"['selama', 'masa', 'jabatannya', 'gubernur', 'anies', 'memimpin', 'berbagai', 'proyekpembangunan', 'kesejahteraan', 'rakyatnya']"
32,"['anies', 'baswedan', 'mengajak', 'warganya', 'menunjukkan', 'kekuatan', 'bangsa', 'semangat', 'perjuangan']"
33,"['pemikiran', 'anies', 'debat', 'perdananya', 'sedikit', 'mampu', 'menciptakan', 'perubahan', 'positif', 'masyarakat']"
34,"['anies', 'angkat', 'alis', 'tidakk', 'adadan', 'tidakk', 'pernah', 'ada', 'menggunakan', 'fakedeep', 'aidasar', 'buzzer', 'polri', 'sukanya', 'buat', 'fitnah']"
35,"['2019', 'anies', 'jd', 'gubernur', 'ikut', 'pilpres', 'krn', '2024', 'anies', 'dicalonkan', 'nasdem', 'apa', 'salahnya', 'nasdem', 'jeli', 'krn', 'negara', 'butuh', 'sosok', 'anies', 'rakyat', 'perubahan', 'keadilan', 'sosial', 'seluruh', 'rakyat', 'indonesia']"
36,"['berbagai', 'inisiatifnya', 'mengembangkan', 'jakarta', 'anies', 'menjadi', 'contoh', 'nyata', 'banyak', 'orang']"
37,"['ordal', 'anies', 'profesional', 'berintegritas']"
38,"['anies', 'baswedan', 'muhaimin', 'iskandar', 'dong', 'indonesia', 'lebih', 'baik']"
39,"['debat', 'banyak', 'buah', 'pemikiran', 'anies', 'pada', 'akhirnya', 'memang', 'benarbenar', 'bermanfaat', 'pencerdasan', 'warga', 'negara']"
40,"['udah', 'rahasia', 'umum', 'lah', 'ga', 'usah', 'ditutupi', 'bagaimana', 'anies', 'menikmati', 'politik', 'identitas', 'dia', 'betulbetul', 'ambil', 'untung']"
41,"['anies', 'baswedan', 'dituding', 'capres', 'banyak', 'janji', 'timnas', 'amin', 'janji', 'terukur']"
44,"['org', 'cerdas', 'paham', 'apa', 'disampaikan', 'pak', 'anies', 'klo', 'otaknya', 'cetek', 'males', 'mikir', 'penilaiannya', 'njelimet']"
45,"['bicara', 'sesuai', 'fakta', 'anies', 'lantang', 'sebut', 'lampung', 'mempunyai', 'alat', 'pemantau', 'polusi', 'udara', 'gacoan', 'anies', 'gempa', 'daesang', 'pagii', 'batter', 'up', '100m', 'views', 'pilihan', 'terbaik']"
46,"['sindir', 'anies', 'baswedan', 'apbd', 'paling', 'besar', 'kok', 'mas', 'anies', 'gagal', 'memimpin', 'jakarta', 'gacoan', 'anies', 'gempa', 'daesang', 'pagii', 'batter', 'up', '100m', 'views', 'pilihan', 'terbaik']"
